ts,open,high,low,close,volume
2025-01-01 00:00:00+00:00,20.012,20.251,19.979,20.232,161461.0
2025-01-01 01:00:00+00:00,20.231,20.231,19.962,20.018,101928.0
2025-01-01 02:00:00+00:00,20.015,20.196,20.01,20.098,79621.0
2025-01-01 03:00:00+00:00,20.1,20.176,20.043,20.066,78845.0
2025-01-01 04:00:00+00:00,20.066,20.091,19.901,19.914,89094.0
2025-01-01 05:00:00+00:00,19.914,20.107,19.903,20.042,86177.0
2025-01-01 06:00:00+00:00,20.044,20.073,19.924,20.051,60829.0
2025-01-01 07:00:00+00:00,20.059,20.065,19.958,19.986,105657.0
2025-01-01 08:00:00+00:00,19.987,20.036,19.824,19.854,150558.0
2025-01-01 09:00:00+00:00,19.854,19.918,19.694,19.801,281163.0
2025-01-01 10:00:00+00:00,19.805,19.96,19.803,19.849,78867.0
2025-01-01 11:00:00+00:00,19.85,20.157,19.766,20.035,139215.0
2025-01-01 12:00:00+00:00,20.036,20.232,19.999,20.217,144314.0
2025-01-01 13:00:00+00:00,20.219,20.338,20.104,20.275,137101.0
2025-01-01 14:00:00+00:00,20.274,20.4,20.045,20.255,150803.0
2025-01-01 15:00:00+00:00,20.258,20.59,20.158,20.568,127429.0
2025-01-01 16:00:00+00:00,20.567,20.724,20.491,20.683,175539.0
2025-01-01 17:00:00+00:00,20.686,20.906,20.355,20.822,316041.0
2025-01-01 18:00:00+00:00,20.83,21.217,20.645,21.204,190843.0
2025-01-01 19:00:00+00:00,21.202,21.56,21.174,21.484,351873.0
2025-01-01 20:00:00+00:00,21.486,21.85,21.486,21.82,304237.0
2025-01-01 21:00:00+00:00,21.822,21.859,21.604,21.666,230205.0
2025-01-01 22:00:00+00:00,21.672,21.73,21.53,21.536,167291.0
2025-01-01 23:00:00+00:00,21.539,21.757,21.457,21.73,131991.0
2025-01-02 00:00:00+00:00,21.73,22.389,21.725,22.1,484244.0
2025-01-02 01:00:00+00:00,22.102,22.212,21.805,21.844,270335.0
2025-01-02 02:00:00+00:00,21.846,22.03,21.78,21.968,117319.0
2025-01-02 03:00:00+00:00,21.971,22.023,21.862,21.889,112869.0
2025-01-02 04:00:00+00:00,21.892,22.149,21.844,22.12,159278.0
2025-01-02 05:00:00+00:00,22.119,22.299,22.058,22.179,203818.0
2025-01-02 06:00:00+00:00,22.179,22.317,22.025,22.078,188879.0
2025-01-02 07:00:00+00:00,22.075,22.376,22.01,22.335,161801.0
2025-01-02 08:00:00+00:00,22.338,22.34,22.06,22.232,215031.0
2025-01-02 09:00:00+00:00,22.231,22.532,22.107,22.423,221024.0
2025-01-02 10:00:00+00:00,22.428,22.808,22.305,22.729,255405.0
2025-01-02 11:00:00+00:00,22.732,22.742,22.389,22.576,195114.0
2025-01-02 12:00:00+00:00,22.578,22.906,22.505,22.67,222856.0
2025-01-02 13:00:00+00:00,22.673,22.71,22.452,22.511,188247.0
2025-01-02 14:00:00+00:00,22.512,22.84,22.313,22.498,390930.0
2025-01-02 15:00:00+00:00,22.498,22.549,22.126,22.219,309916.0
2025-01-02 16:00:00+00:00,22.219,22.425,22.091,22.299,168884.0
2025-01-02 17:00:00+00:00,22.302,22.581,22.049,22.224,231070.0
2025-01-02 18:00:00+00:00,22.222,22.354,22.146,22.339,95431.0
2025-01-02 19:00:00+00:00,22.337,22.337,22.122,22.128,60796.0
2025-01-02 20:00:00+00:00,22.129,22.249,22.001,22.062,102414.0
2025-01-02 21:00:00+00:00,22.063,22.088,21.973,22.033,82975.0
2025-01-02 22:00:00+00:00,22.033,22.058,21.807,22.014,145575.0
2025-01-02 23:00:00+00:00,22.014,22.173,21.981,22.069,99217.0
2025-01-03 00:00:00+00:00,22.074,22.178,21.995,22.002,96696.0
2025-01-03 01:00:00+00:00,22.003,22.155,21.907,22.123,139821.0
2025-01-03 02:00:00+00:00,22.123,22.423,22.071,22.078,186351.0
2025-01-03 03:00:00+00:00,22.078,22.279,21.984,22.244,117059.0
2025-01-03 04:00:00+00:00,22.246,22.259,22.066,22.12,85088.0
2025-01-03 05:00:00+00:00,22.125,22.168,21.96,22.052,100829.0
2025-01-03 06:00:00+00:00,22.057,22.235,21.966,21.984,98032.0
2025-01-03 07:00:00+00:00,21.985,22.048,21.787,21.811,154402.0
2025-01-03 08:00:00+00:00,21.812,21.881,21.645,21.808,211784.0
2025-01-03 09:00:00+00:00,21.809,22.26,21.809,22.184,164675.0
2025-01-03 10:00:00+00:00,22.187,22.361,22.08,22.296,115897.0
2025-01-03 11:00:00+00:00,22.299,22.678,22.299,22.669,185946.0
2025-01-03 12:00:00+00:00,22.664,22.915,22.625,22.64,252594.0
2025-01-03 13:00:00+00:00,22.638,22.718,22.455,22.463,276450.0
2025-01-03 14:00:00+00:00,22.464,23.037,22.464,23.015,321091.0
2025-01-03 15:00:00+00:00,23.015,23.486,22.933,23.467,318858.0
2025-01-03 16:00:00+00:00,23.468,23.777,23.337,23.607,379607.0
2025-01-03 17:00:00+00:00,23.611,23.818,23.544,23.602,158323.0
2025-01-03 18:00:00+00:00,23.6,23.867,23.584,23.768,129322.0
2025-01-03 19:00:00+00:00,23.766,23.908,23.681,23.785,124360.0
2025-01-03 20:00:00+00:00,23.785,23.818,23.528,23.53,124224.0
2025-01-03 21:00:00+00:00,23.531,23.619,23.381,23.437,160134.0
2025-01-03 22:00:00+00:00,23.44,23.632,23.369,23.458,92077.0
2025-01-03 23:00:00+00:00,23.457,23.521,23.346,23.48,72382.0
2025-01-04 00:00:00+00:00,23.479,23.533,23.263,23.282,129253.0
2025-01-04 01:00:00+00:00,23.283,23.348,23.133,23.335,161315.0
2025-01-04 02:00:00+00:00,23.335,23.453,23.276,23.415,98919.0
2025-01-04 03:00:00+00:00,23.418,23.427,23.169,23.201,132879.0
2025-01-04 04:00:00+00:00,23.201,23.229,23.034,23.179,97864.0
2025-01-04 05:00:00+00:00,23.18,23.23,23.136,23.172,68164.0
2025-01-04 06:00:00+00:00,23.171,23.292,23.13,23.198,79419.0
2025-01-04 07:00:00+00:00,23.2,23.357,23.197,23.296,85857.0
2025-01-04 08:00:00+00:00,23.296,23.313,22.966,23.0,149320.0
2025-01-04 09:00:00+00:00,22.999,23.117,22.968,23.017,68027.0
2025-01-04 10:00:00+00:00,23.021,23.086,22.884,23.06,123665.0
2025-01-04 11:00:00+00:00,23.058,23.114,23.011,23.071,75928.0
2025-01-04 12:00:00+00:00,23.075,23.529,23.064,23.512,201221.0
2025-01-04 13:00:00+00:00,23.513,23.747,23.437,23.725,176942.0
2025-01-04 14:00:00+00:00,23.726,23.799,23.598,23.705,154796.0
2025-01-04 15:00:00+00:00,23.708,23.94,23.1,23.164,385358.0
2025-01-04 16:00:00+00:00,23.162,23.456,23.158,23.381,174616.0
2025-01-04 17:00:00+00:00,23.385,23.439,23.278,23.427,65569.0
2025-01-04 18:00:00+00:00,23.431,23.617,23.401,23.496,74503.0
2025-01-04 19:00:00+00:00,23.497,23.772,23.497,23.634,88504.0
2025-01-04 20:00:00+00:00,23.632,23.835,23.579,23.752,81088.0
2025-01-04 21:00:00+00:00,23.754,24.056,23.684,23.773,130236.0
