closed,sym,setup,dir,r,pnl,reason,regime,conf,peak_r
2026-07-25 17:00:00+00:00,DOGE,PBK_S,-1,-0.0191907996773914,-3.444339834352426,Trail,TREND_DOWN,0.7641,2.8343
2026-07-26 16:00:00+00:00,XRP,PBK_S,-1,-1.2141721580216815,-80.39344559275985,SL,TREND_DOWN,0.8373,0.09088362087262308
2026-07-27 08:00:00+00:00,DOGE,PBK_S,-1,-0.005602194065551681,-0.8470054303505483,BiasFlip,TREND_DOWN,0.753,0.0730725801414808
2026-08-02 05:00:00+00:00,XRP,PBK_S,-1,1.4692651207809166,169.57444709218632,Trail,TREND_DOWN,0.8143,4.3223827790780485
2026-08-02 18:00:00+00:00,DOGE,PBK_S,-1,-1.1203011348306242,-135.75472056942436,SL,TREND_DOWN,0.8799,0.014286356397076708
2026-08-03 14:00:00+00:00,SUI,PBK_S,-1,-1.1225560840248994,-87.64933988972788,SL,TREND_DOWN,0.8001,0.5310339294053713
2026-08-08 17:00:00+00:00,XRP,PBK_S,-1,2.9426627856001835,406.4941883425768,Trail,TREND_DOWN,0.8263,3.9892265097392574
2026-08-09 20:00:00+00:00,SUI,PBK_S,-1,-0.5355875773199962,-87.99043866474459,LossFade,TREND_DOWN,0.8341,0.05376285240678631
2026-08-12 15:00:00+00:00,XRP,PBK_S,-1,1.6744459421218256,226.96858353799675,Trail,TREND_DOWN,0.8373,3.0651208105701975
2026-08-12 23:00:00+00:00,DOGE,RCL_S,-1,-0.13890345474506327,-23.128998555574952,BiasFlip,TREND_DOWN,0.888,0.0
2026-08-15 15:00:00+00:00,SUI,PBK_S,-1,0.19649757555799702,22.670849399849445,Trail,TREND_DOWN,0.8811,0.9376656402967767
2026-08-17 15:00:00+00:00,XRP,PBK_S,-1,-1.2081687298889006,-79.03365949711984,SL,TREND_DOWN,0.7951,1.3816738100660488
2026-08-19 12:00:00+00:00,DOGE,PBK_S,-1,-1.1215519261913427,-115.99660926485697,SL,TREND_DOWN,0.872,0.38828388086487947
