ts,rate
1776758400000,7.15934478492e-05
1776787200000,6.22638030351e-05
1776816000000,0.0001
1776844800000,0.0001
1776873600000,8.85638288587e-05
1776902400000,-1.68665812022e-05
1776931200000,2.2214546358e-05
1776960000000,7.81666045676e-05
1776988800000,1.79686197322e-05
1777017600000,0.0001
1777046400000,7.6085299376e-05
1777075200000,6.85185757263e-05
1777104000000,5.73350543096e-05
1777132800000,-8.58679838808e-05
1777161600000,0.0001
1777190400000,2.36266220016e-05
1777219200000,6.37809848006e-05
1777248000000,-2.7387433978e-05
1777276800000,-7.55706583511e-05
1777305600000,-1.26844820074e-05
1777334400000,-3.69599942177e-05
1777363200000,5.63597938337e-05
1777392000000,0.0001
1777420800000,-7.49541392067e-05
1777449600000,8.89701189282e-05
1777478400000,-6.64964571986e-05
1777507200000,1.63691919685e-05
1777536000000,4.28571479306e-05
1777564800000,-2.69304670324e-05
1777593600000,-0.0001191375684047
1777622400000,7.95217584174e-05
1777651200000,3.9928078497e-05
1777680000000,2.73434961467e-05
1777708800000,0.0001
1777737600000,5.66083595422e-05
1777766400000,0.0001
1777795200000,2.16793481191e-05
1777824000000,0.0001
1777852800000,0.0001
1777881600000,0.0001
1777910400000,1.05758832552e-05
1777939200000,1.91549400709e-05
1777968000000,0.0001
1777996800000,0.0001
1778025600000,0.0001
1778054400000,0.0001
1778083200000,-2.91912067214e-05
1778112000000,-4.66055151066e-05
1778140800000,-6.4632679209e-06
1778169600000,-4.15260175016e-05
1778198400000,4.30941372419e-05
1778227200000,-0.000130880564252
1778256000000,-5.7999138294e-05
1778284800000,0.0001
1778313600000,0.0001
1778342400000,7.12173149301e-05
1778371200000,0.0001
1778400000000,4.37928913583e-05
1778428800000,0.0001
1778457600000,0.0001
1778486400000,0.0001
1778515200000,9.92129683483e-05
1778544000000,4.25210165734e-05
1778572800000,0.0001
1778601600000,-1.69527570044e-05
1778630400000,-4.2450423733e-06
1778659200000,0.0001
1778688000000,9.86749076985e-05
